,mkid,mkname,Start_date,End_date,elo_best,elo1,start_1,end_1,neco1,eloscore1,stdelo1,elo2,start_2,end_2,neco2,eloscore2,stdelo2,elo3,start_3,end_3,neco3,eloscore3,elo4,start_4,end_4,neco4,eloscore4,elo5,start_5,end_5,neco5,eloscore5,start,end
0,23,abr,2020-06-17 13:22:45,2020-06-19 08:10:17,1233,High,2020-04-10,2020-10-03,42969,1235,,Low,2020-10-19,2021-05-12,2942,1157,,High,2021-10-11,2021-12-17,6929.0,1203.0,,,,,,,,,,,2020-06-17 13:22:45,2020-06-19 08:10:17
1,22,ala,2020-06-09 09:20:44,2020-06-11 13:26:16,1087,High,2020-02-11,2020-08-18,73012,1115,,Low,2020-09-12,2021-03-08,5501,1074,,High,2021-03-28,2021-06-06,1891.0,1173.0,Low,2021-09-02,2022-03-21,31513.0,1128.0,High,2022-06-07,2022-08-30,6344.0,1215.0,2020-06-09 09:20:44,2020-06-11 13:26:16
2,21,alv,2020-11-13 10:36:03,2020-12-09 13:00:17,1177,Low,2020-02-04,2020-06-02,60904,1082,,High,2020-07-30,2020-10-07,6257,1239,,Low,2020-02-04,2020-06-02,60904.0,1082.0,,,,,,,,,,,2020-11-13 10:36:03,2020-12-09 13:00:17
3,24,anu,2020-03-15 13:59:47,2020-03-31 18:12:02,1185,High,2020-01-15,2020-03-23,4547,1196,,Low,2020-04-18,2020-06-28,17224,1139,,High,2020-07-17,2020-09-18,2477.0,1170.0,,,,,,,,,,,2020-03-15 13:59:47,2020-03-31 18:12:02
4,25,bar,2021-09-24 11:57:44,2021-09-30 07:54:51,1146,Low,2021-06-27,2021-08-26,39693,1077,,High,2021-09-24,2022-09-21,65483,1167,,,,,,,,,,,,,,,,,2021-09-24 11:57:44,2021-09-30 07:54:51
5,10,ber,2022-05-04 09:21:05,2022-05-19 18:39:55,955,Low,2021-11-04,2021-12-11,2646,926,,High,2022-05-31,2022-07-04,5611,990,,,,,,,,,,,,,,,,,2022-05-04 09:21:05,2022-05-19 18:39:55
6,26,ces,2022-03-29 13:28:41,2022-04-11 15:37:54,954,Low,2020-03-08,2020-06-11,31855,752,,High,2020-07-17,2020-09-16,2937,848,,Low,2020-10-03,2020-11-13,2397.0,811.0,High,2021-12-14,2022-03-12,9923.0,970.0,,,,,,2022-03-29 13:28:41,2022-04-11 15:37:54
7,29,dor,2021-09-28 14:14:14,2021-10-12 15:11:50,758,High,2020-11-15,2021-02-22,2058,829,,Low,2021-06-17,2021-09-12,18121,723,,High,2021-10-20,2022-02-19,6037.0,783.0,Low,2022-04-14,2022-06-11,8763.0,708.0,High,2023-05-14,2023-06-10,5830.0,780.0,2021-09-28 14:14:14,2021-10-12 15:11:50
8,30,eri,2021-11-18 10:24:11,2021-11-26 08:27:22,729,Low,2021-02-03,2021-10-11,48549,659,,High,2022-03-15,2022-09-19,30136,864,,High,2023-02-27,2023-06-16,13902.0,1011.0,,,,,,,,,,,2021-11-18 10:24:11,2021-11-26 08:27:22
9,31,fic,2023-06-09 06:12:19,2023-06-13 07:44:23,928,Low,2021-07-21,2021-10-16,11947,758,,High,2022-04-09,2022-05-31,6805,898,,Low,2022-06-11,2022-08-25,6431.0,834.0,High,2022-09-03,2022-11-20,2736.0,917.0,High,2023-05-03,2023-06-15,12656.0,930.0,2023-06-09 06:12:19,2023-06-13 07:44:23
10,39,her,2023-06-01 07:55:52,2023-06-09 13:41:18,651,High,2022-09-16,2022-11-16,3966,850,,Low,2023-05-04,2023-06-07,9527,685,,,,,,,,,,,,,,,,,2023-06-01 07:55:52,2023-06-09 13:41:18
11,37,hor,2023-05-20 08:42:56,2023-05-26 11:58:08,836,Low,2022-10-31,2023-04-14,2905,741,,High,2023-05-12,2023-06-10,12190,841,,,,,,,,,,,,,,,,,2023-05-20 08:42:56,2023-05-26 11:58:08
12,9,las,2022-05-26 14:35:24,2022-06-09 17:46:03,627,High,2020-10-07,2022-02-20,13681,737,,Low,2022-09-12,2023-06-16,4098,591,,,,,,,,,,,,,,,,,2022-05-26 14:35:24,2022-06-09 17:46:03
13,8,nem,2022-04-28 07:22:39,2022-05-07 07:56:54,1036,Low,2020-02-02,2020-07-19,43571,903,,High,2020-07-28,2021-02-16,1050,1024,,Low,2021-06-27,2021-09-14,8388.0,1004.0,High,2022-03-22,2022-09-20,29526.0,1042.0,,,,,,2022-04-28 07:22:39,2022-05-07 07:56:54
14,3,ner,2021-09-19 16:14:51,2021-10-02 12:31:43,1026,Low,2020-05-10,2021-07-26,10583,1016,,High,2021-09-20,2022-01-17,9293,1155,,Low,2022-02-04,2022-05-07,10199.0,1074.0,High,2022-05-14,2022-09-11,16196.0,1132.0,Low,2022-11-03,2023-08-15,19067.0,1071.0,2021-09-19 16:14:51,2021-10-02 12:31:43
15,17,oll,2021-08-04 13:15:47,2021-08-10 14:12:19,1234,High,2020-01-18,2020-02-26,4726,1269,,Low,2020-05-31,2020-12-15,16713,1159,,High,2021-07-24,2021-11-22,22802.0,1239.0,Low,2021-12-04,2022-03-14,10138.0,1183.0,,,,,,2021-08-04 13:15:47,2021-08-10 14:12:19
16,18,pac,2020-06-03 08:41:34,2020-06-17 06:31:40,1296,High,2020-05-02,2020-10-12,13778,1308,,Low,2020-10-27,2021-05-15,1537,1161,,High,2021-07-05,2021-11-19,18532.0,1274.0,Low,2022-01-22,2022-03-09,1972.0,1156.0,Low,2023-02-07,2023-06-14,1754.0,1145.0,2020-06-03 08:41:34,2020-06-17 06:31:40
17,5,pat,2022-11-14 14:11:18,2022-11-19 15:32:30,841,High,2022-07-12,2022-10-03,1644,864,,Low,2022-11-07,2023-06-16,4753,830,,,,,,,,,,,,,,,,,2022-11-14 14:11:18,2022-11-19 15:32:30
18,7,yoh,2022-09-10 11:49:23,2022-09-15 15:16:45,892,Low,2020-04-29,2021-05-02,21314,835,,High,2022-05-17,2022-11-14,24802,906,,,,,,,,,,,,,,,,,2022-09-10 11:49:23,2022-09-15 15:16:45
