,monkey,elo,RT,date_start,date_end
0,abr,1235,756.6486002430652,2020-04-10,2020-10-03
1,abr,1157,728.1238660153524,2020-10-19,2021-05-12
2,abr,1203.0,758.4833355641815,2021-10-11,2021-12-17
3,ala,1115,1029.405137783691,2020-02-11,2020-08-18
4,ala,1074,918.2139844256976,2020-09-12,2021-03-08
5,ala,1173.0,941.5694117647059,2021-03-28,2021-06-06
6,ala,1128.0,830.4156674433142,2021-09-02,2022-03-21
7,ala,1215.0,826.8909769043179,2022-06-07,2022-08-30
8,alv,1082,904.2006137758582,2020-02-04,2020-06-02
9,alv,1239,936.3264843417883,2020-07-30,2020-10-07
10,alv,1082.0,904.2006137758582,2020-02-04,2020-06-02
11,anu,1196,1179.3814456203559,2020-01-15,2020-03-23
12,anu,1139,772.269326156931,2020-04-18,2020-06-28
13,anu,1170.0,740.1425244527247,2020-07-17,2020-09-18
14,bar,1077,693.525322004181,2021-06-27,2021-08-26
15,bar,1167,671.4547421515393,2021-09-24,2022-09-21
16,ber,926,1887.0216802168022,2021-11-04,2021-12-11
17,ber,990,1017.0656582446809,2022-05-31,2022-07-04
18,ces,752,1044.2212009450816,2020-03-08,2020-06-11
19,ces,848,943.6048841577958,2020-07-17,2020-09-16
20,ces,811.0,886.2138576779026,2020-10-03,2020-11-13
21,ces,970.0,872.9251625904552,2021-12-14,2022-03-12
22,dor,829,921.7855100095329,2020-11-15,2021-02-22
23,dor,723,837.6502818712294,2021-06-17,2021-09-12
24,dor,783.0,909.1812230322869,2021-10-20,2022-02-19
25,dor,708.0,832.0320212115032,2022-04-14,2022-06-11
26,dor,780.0,831.1309179479373,2023-05-14,2023-06-10
27,eri,659,926.1338136227545,2021-02-03,2021-10-11
28,eri,864,824.7776331745985,2022-03-15,2022-09-19
29,eri,1011.0,778.6768755629906,2023-02-27,2023-06-16
30,fic,758,1025.8884026258206,2021-07-21,2021-10-16
31,fic,898,964.3894415705,2022-04-09,2022-05-31
32,fic,834.0,931.6409097330131,2022-06-11,2022-08-25
33,fic,917.0,910.279368213228,2022-09-03,2022-11-20
34,fic,930.0,864.7637678077823,2023-05-03,2023-06-15
35,her,850,759.6704154234565,2022-09-16,2022-11-16
36,her,685,704.1895165105498,2023-05-04,2023-06-07
37,hor,741,1355.5670773442848,2022-10-31,2023-04-14
38,hor,841,1020.9622184725993,2023-05-12,2023-06-10
39,las,737,1215.0252384737678,2020-10-07,2022-02-20
40,las,591,1211.3586497890296,2022-09-12,2023-06-16
41,nem,903,1034.4521981556938,2020-02-02,2020-07-19
42,nem,1024,865.0780046869769,2020-07-28,2021-02-16
43,nem,1004.0,865.8162676357417,2021-06-27,2021-09-14
44,nem,1042.0,828.9926013166637,2022-03-22,2022-09-20
45,ner,1016,819.9964654703643,2020-05-10,2021-07-26
46,ner,1155,777.6535220761713,2021-09-20,2022-01-17
47,ner,1074.0,744.9563725490196,2022-02-04,2022-05-07
48,ner,1132.0,643.6301871711183,2022-05-14,2022-09-11
49,ner,1071.0,711.0907523279302,2022-11-03,2023-08-15
50,oll,1269,1468.1874036555826,2020-01-18,2020-02-26
51,oll,1159,947.5937210443125,2020-05-31,2020-12-15
52,oll,1239.0,1156.0721414538311,2021-07-24,2021-11-22
53,oll,1183.0,1146.268667510396,2021-12-04,2022-03-14
54,pac,1308,809.0514533912462,2020-05-02,2020-10-12
55,pac,1161,785.3163799551235,2020-10-27,2021-05-15
56,pac,1274.0,747.4305704534373,2021-07-05,2021-11-19
57,pac,1156.0,774.5106275303643,2022-01-22,2022-03-09
58,pac,1145.0,841.6846606092998,2023-02-07,2023-06-14
59,pat,864,681.756345177665,2022-07-12,2022-10-03
60,pat,830,690.8459646769506,2022-11-07,2023-06-16
61,yoh,835,687.5315857518613,2020-04-29,2021-05-02
62,yoh,906,678.4407859224873,2022-05-17,2022-11-14
