,monkey,elo,RT,date_start,date_end
0,abr,1233,764.0914051841746,2020-06-17 13:22:45,2020-06-19 08:10:17
1,ala,1087,872.9986000933271,2020-06-09 09:20:44,2020-06-11 13:26:16
2,alv,1177,923.1515434985968,2020-11-13 10:36:03,2020-12-09 13:00:17
3,anu,1185,1089.6923895689197,2020-03-15 13:59:47,2020-03-31 18:12:02
4,bar,1146,669.3914569923932,2021-09-24 11:57:44,2021-09-30 07:54:51
5,ber,955,1140.4972208185952,2022-05-04 09:21:05,2022-05-19 18:39:55
6,ces,954,932.4871373836891,2022-03-29 13:28:41,2022-04-11 15:37:54
7,dor,758,934.6499686912962,2021-09-28 14:14:14,2021-10-12 15:11:50
8,eri,729,899.0489844683393,2021-11-18 10:24:11,2021-11-26 08:27:22
9,fic,928,837.4650856389986,2023-06-09 06:12:19,2023-06-13 07:44:23
10,her,651,814.8089294287086,2023-06-01 07:55:52,2023-06-09 13:41:18
11,hor,836,1062.1900180396874,2023-05-20 08:42:56,2023-05-26 11:58:08
12,las,627,1045.1427680798006,2022-05-26 14:35:24,2022-06-09 17:46:03
13,nem,1036,857.6514851485149,2022-04-28 07:22:39,2022-05-07 07:56:54
14,ner,1026,769.4330130016958,2021-09-19 16:14:51,2021-10-02 12:31:43
15,oll,1234,1145.3884251530328,2021-08-04 13:15:47,2021-08-10 14:12:19
16,pac,1296,767.3640639698965,2020-06-03 08:41:34,2020-06-17 06:31:40
17,pat,841,645.1860613810742,2022-11-14 14:11:18,2022-11-19 15:32:30
18,yoh,892,720.0881595881596,2022-09-10 11:49:23,2022-09-15 15:16:45
