,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1233,2.0,2020-06-17 13:22:45,2020-06-19 08:10:17,0.8667844421230644,P1+,0,0.19076902283761177,1.9972043919968774,1.8019636272424147,0.5387906150800013,0.38962928802859026,0.909694540247579,0.4289013414871894
1,ala,1087,5.5,2020-06-09 09:20:44,2020-06-11 13:26:16,0.9138996930298081,P1+,0,0.03011713268098071,4.126934899552711,1.4288928442114248,1.001037794945428,0.25104076189046315,1.4733303917604172,0.7945611933606745
2,alv,1177,1.8846153846153846,2020-11-13 10:36:03,2020-12-09 13:00:17,0.8784416302053665,P1+,0,-0.5936261787585678,1.0569806628929421,3.4018960535677745,1.3246308952214698,0.5520339397588357,1.5651684915736457,0.7897919206331812
3,anu,1185,2.0,2020-03-15 13:59:47,2020-03-31 18:12:02,0.8427059864512336,P1+,0,-0.40216264378823413,2.497712559480144,0.8353887215590977,0.4884157137064456,0.4574324274664813,0.41129713393386097,0.5463427247786572
4,bar,1146,4.666666666666667,2021-09-24 11:57:44,2021-09-30 07:54:51,0.9188385715591598,P1+,0,-0.358773414882651,3.2754039326012316,1.619415896475319,1.068101519158519,0.6793177637889283,0.6971870431999181,0.6723263494572821
5,ber,955,7.666666666666667,2022-05-04 09:21:05,2022-05-19 18:39:55,0.8923971736544969,P1+,0,-0.3930377887919464,3.032812533578939,1.058300609842209,0.2569378710866148,0.4237383808471887,0.6912826752947375,0.8732528350874595
6,ces,954,10.0,2022-03-29 13:28:41,2022-04-11 15:37:54,0.8967164895121099,P1+,0,-0.4994327276601089,1.7523456139693676,2.5806006120344187,1.4137449255553423,0.483314608358887,0.8663652498220522,0.7991827442661783
7,dor,758,14.428571428571429,2021-09-28 14:14:14,2021-10-12 15:11:50,0.8546816722372278,P1+,0,-0.11642963365259618,2.771193567327502,1.5358400193611568,0.6589708485805926,0.36461374958788006,2.0,0.9251464611243229
8,eri,729,16.0,2021-11-18 10:24:11,2021-11-26 08:27:22,0.9005774673455413,P1+,0,-0.04011275029351691,3.434919121826791,1.353899875370705,0.6712980896713351,0.5042714295312543,1.136216955169153,1.3280034746705551
9,fic,928,,2023-06-09 06:12:19,2023-06-13 07:44:23,0.8756625613009377,P1+,0,-1.1974729257490364,1.0956769967657733,5.025857759278623,1.529493503999798,0.5901099243793644,2.0,1.135523516191381
10,her,651,,2023-06-01 07:55:52,2023-06-09 13:41:18,0.8463012435135198,P1+,0,-0.6881692205512371,1.4987632829564008,2.30190314624096,0.7496953568348423,0.5035094759495709,1.4711364559922093,0.9271031880597939
11,hor,836,,2023-05-20 08:42:56,2023-05-26 11:58:08,0.8462161846796135,P1+,0,-0.5026324463324096,1.9709440818673918,1.5695027700573119,0.7916813442451918,0.522962233816739,1.0914832881571555,0.836468754636749
12,las,627,15.0,2022-05-26 14:35:24,2022-06-09 17:46:03,0.8674523443634554,P1+,0,0.014023670714748396,3.2808375693255982,0.7304583766267599,0.3565232484888037,0.6148515218524205,0.7714353519692864,0.4583583611491752
13,nem,1036,7.0,2022-04-28 07:22:39,2022-05-07 07:56:54,0.8662475559571148,P1+,0,-0.39306936648562996,2.4864932792073655,1.3587877726571753,0.8683819057353609,0.670169958440578,1.166869370869307,0.9377744389044137
14,ner,1026,4.461538461538462,2021-09-19 16:14:51,2021-10-02 12:31:43,0.8265554157475216,P1+,0,-0.10125708317436058,1.1513404795800948,0.2,0.49094574697724447,1.9877073019005433,0.47138947708002915,0.5698052420932935
15,oll,1234,2.0,2021-08-04 13:15:47,2021-08-10 14:12:19,0.8929063544536272,P1+,0,-0.2686949945505459,2.931585650794256,0.9087421474528674,0.8473379943252795,0.6607346714914563,0.7780142209870502,0.7043348755204669
16,pac,1296,1.0,2020-06-03 08:41:34,2020-06-17 06:31:40,0.8613086115173253,P1+,0,0.3102988608384964,2.8483837113416106,0.9363752824651561,0.7139184955979068,0.19119338351846132,0.9825658313425034,0.6977004209267106
17,pat,841,,2022-11-14 14:11:18,2022-11-19 15:32:30,0.8269077789041024,P1+,0,-2.920952153977229,0.5552446982844408,2.3262772030602323,1.3255397232586397,0.1,0.43694521841473916,0.1
18,yoh,892,,2022-09-10 11:49:23,2022-09-15 15:16:45,0.8459820663141696,P1+,0,-0.12960461939643217,1.1103511965627406,3.9278836322748814,1.1447828027344982,0.29561801521099984,0.9040524823465269,0.16190984252054053
