,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1233,2.0,2020-06-17 13:22:45,2020-06-19 08:10:17,0.8626826345103873,P1,0,0.18625615366296938,2.0474290997777773,1.7101145111929317,0.5492266216612169,0.3909326709851468,0.5629007592417329
1,ala,1087,5.5,2020-06-09 09:20:44,2020-06-11 13:26:16,0.9093991754314644,P1,0,0.024369446589939742,4.521059745326388,1.1783914996692773,0.9690353518535975,0.2338666418218044,1.120333331753367
2,alv,1177,1.8846153846153846,2020-11-13 10:36:03,2020-12-09 13:00:17,0.873966660730397,P1,0,-0.5626216183128829,1.104562584076202,3.0741998725596966,1.3410026395570736,0.545811673861868,0.9912669933672779
3,anu,1185,2.0,2020-03-15 13:59:47,2020-03-31 18:12:02,0.8421296692323308,P1,0,-0.4038257292807017,2.488297486954806,0.8430861597594632,0.48792529342389984,0.45828127603453905,0.46097342277339237
4,bar,1146,4.666666666666667,2021-09-24 11:57:44,2021-09-30 07:54:51,0.9182503362650422,P1,0,-0.35763402903789504,3.28487260741983,1.6083342952698205,1.0677326320490812,0.6798198782781016,0.6831347126796344
5,ber,955,7.666666666666667,2022-05-04 09:21:05,2022-05-19 18:39:55,0.8918007283287281,P1,0,-0.39760951914010767,2.995285161422101,1.085190550773199,0.25321157578979436,0.42730942945787076,0.784820113992409
6,ces,954,10.0,2022-03-29 13:28:41,2022-04-11 15:37:54,0.8967574465275195,P1,0,-0.4943101346745964,1.767378897839997,2.5410142695236297,1.4144620581484364,0.482906102135341,0.8242876778498268
7,dor,758,14.428571428571429,2021-09-28 14:14:14,2021-10-12 15:11:50,0.8448293500737944,P1,0,-0.11144272120266528,2.8051935315881584,1.2703823166550388,0.6634121341386932,0.32781866555515893,1.624465375303102
8,eri,729,16.0,2021-11-18 10:24:11,2021-11-26 08:27:22,0.8997632921027947,P1,0,-0.04087615447385941,3.3499652768075934,1.4049173817072929,0.6699013334421301,0.5071605001796954,1.2392873765468841
9,fic,928,,2023-06-09 06:12:19,2023-06-13 07:44:23,0.8717001325857414,P1,0,-1.103502397393645,1.1370672716852537,4.461865670914287,1.523238243582454,0.5936406664985641,1.3861986751219306
10,her,651,,2023-06-01 07:55:52,2023-06-09 13:41:18,0.8431358111198265,P1,0,-0.6459725654913167,1.585810596238146,2.1210301401094016,0.7586619280852676,0.5015324241834952,1.0293077964608408
11,hor,836,,2023-05-20 08:42:56,2023-05-26 11:58:08,0.846669170419364,P1,0,-0.49023114046792254,2.0152289601208273,1.5084406753716078,0.7979929957765124,0.5201987152599156,0.9084066364225778
12,las,627,15.0,2022-05-26 14:35:24,2022-06-09 17:46:03,0.8661831497720387,P1,0,0.013638760579598676,3.329270255314515,0.7055208299599965,0.3667053629742293,0.6021457681009916,0.6218216944188981
13,nem,1036,7.0,2022-04-28 07:22:39,2022-05-07 07:56:54,0.8654424088982913,P1,0,-0.38488415869422227,2.5547189793741523,1.299430570477834,0.8679667291329017,0.6662107312520812,1.026925697823797
14,ner,1026,4.461538461538462,2021-09-19 16:14:51,2021-10-02 12:31:43,0.8276165045967145,P1,0,-0.10143014519631266,1.1479167328565592,0.2,0.48994778555893737,1.9961274060356269,0.5109034909668092
15,oll,1234,2.0,2021-08-04 13:15:47,2021-08-10 14:12:19,0.892978522285795,P1,0,-0.26736352007490083,2.9424290205119297,0.900161824830075,0.8495929100490024,0.6572980568681882,0.7486877080589569
16,pac,1296,1.0,2020-06-03 08:41:34,2020-06-17 06:31:40,0.8622319960116189,P1,0,0.3037232648041313,2.9138839337287568,0.8912763065008296,0.7128436823375501,0.17838902714768143,0.877745753477207
17,pat,841,,2022-11-14 14:11:18,2022-11-19 15:32:30,0.8269413923494806,P1,0,-3.2126434781716755,0.5045430385983828,2.622230707749117,1.4046008535981447,0.1,0.1
18,yoh,892,,2022-09-10 11:49:23,2022-09-15 15:16:45,0.8440342060563463,P1,0,-0.12507958111334427,1.0855558753999397,3.960984574972554,1.1916937578577467,0.2896992074333584,0.3298056373669684
