,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.864,P1+,0,-0.5967198386270556,1.2635182345755385,1.6004551845128971,0.48539793896404476,0.6423856131934262,0.6673379326552328,0.6536774145354438
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.925,P1+,0,-0.2076429968698969,3.3557279218787675,1.2255209956991324,0.851874525156961,0.39934286830412336,1.1930126556478933,0.7359180705702526
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.911,P1+,0,0.8505063958564116,1.4005906839757098,1.1888289979974827,0.9115239441600754,0.6463707112160281,0.913765854327833,0.3833058790325263
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.911,P1+,0,-0.7669896493853815,2.263182656102857,0.6990843561408048,0.5679926634276831,0.5142073629591326,0.3690229154013493,0.21170055830818807
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.924,P1+,0,-0.2285076397036272,1.887945758302579,2.2051660128315396,1.1242225438604074,0.4491825959977031,0.8068932888405385,0.6578576363261397
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.931,P1+,0,-0.47552520982702484,1.7405361001292505,1.4001874048986103,0.2191838241307886,0.3440652734318978,0.6703082025206568,0.6837047710520807
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.900,P1+,0,-0.4751475384296993,1.4951266246893826,2.0066236924381347,0.9017255125302756,0.5253817914332796,0.9028477861608399,0.7758470223561758
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.924,P1+,0,-0.43472954262289243,1.8751095748315667,1.9174464157375657,0.6762082432192507,0.32913597247214477,2.0,0.7470853725665775
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.946,P1+,0,-0.22741940097612018,2.132565518045586,1.5670445475024963,0.7644171409168868,0.4852710791444323,1.1031348452034615,0.96429728269471
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.922,P1+,0,-0.7037648802298082,0.9278597831669215,3.1397860897783385,1.1872368589468452,0.5376775666588333,2.0,0.9141634582283606
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.834,P1+,0,-0.7688999305978681,2.417560324393731,0.2,0.1,0.6359152070612547,0.6954490629979944,0.14352469933121842
11,las,706.6836086404066,2020-07-14,2023-06-16,0.936,P1+,0,0.19004001999706455,2.0943664194438476,0.6543744920822477,0.2760221562289928,0.5533143992573714,0.7472626737110086,0.3068963066487372
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.887,P1+,0,-0.5905493321070165,1.5254729673585565,1.7138934736588818,0.8399506095353054,0.6400219572271306,1.0584353596249712,0.7338257773559423
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.914,P1+,0,-1.258563881786298,0.9662065510979343,0.819788821625749,0.29569978794900276,0.980414712690558,0.6064696726175637,0.21578704229730664
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.768,P1+,0,1.2827760860253508,1.3313192419301776,2.3765968647844855,0.5051052181285838,0.29285985711222945,0.1,0.2511655619204541
15,olg,923.780701754386,2021-07-29,2022-07-05,0.900,P1+,0,-2.487319014672859,0.5347202546712448,1.5332665747612118,0.8114821154444194,0.8748027629008251,0.3611337691099142,0.16011421143946208
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.890,P1+,0,-0.5764934845025609,1.8471218299902576,1.3540925066237108,0.8361630573680395,0.5683296324681296,0.7899036198570247,0.5060946980615897
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.888,P1+,0,-0.7127491955458509,1.2076353038906487,1.9559022277770324,0.7566469928560453,0.25734451827966237,0.595288442972497,0.4817777198665786
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.869,P1+,0,-5.0,0.2717358283066655,4.615589668009305,1.4998665376952693,0.1,0.7826716598890228,0.1
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.918,P1+,0,-0.7366107226611237,1.7433118504629548,0.21777914570206972,0.10933308124851385,1.2048783581984501,0.2817701826259993,0.46215487751008844
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.843,P1+,0,-0.07372436443321932,0.954512684017241,2.8980706093207367,0.832445980321259,0.2736955096938191,0.8473210707088804,0.3613543891871863
