,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.864,P1,0,-0.5962283953413101,1.2645880286918842,1.5987076544641976,0.4857135686619704,0.6421914448361159,0.6569133514805264
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.922,P1,0,-0.1948599134438658,3.5422483224646784,1.0991934294090344,0.8487266513121362,0.38554068902922034,0.9408657679386315
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.909,P1,0,0.8316667003345333,1.4245529104013641,1.1476060894889357,0.924299503680436,0.6217605074383442,0.6476557082752816
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.909,P1,0,-0.7718968494414169,2.247698895544834,0.7087718274967127,0.5714491401330662,0.50822599701411,0.3158152570605633
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.925,P1,0,-0.22377783259634357,1.9253942091157101,2.1304599397099944,1.1229029529293382,0.4470567495750122,0.7171648477416246
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.932,P1,0,-0.4758811782356755,1.739158432934527,1.4018166952254716,0.2190974668418782,0.3441984533291922,0.6794996836502571
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.900,P1,0,-0.4686366466210511,1.5153553050819613,1.9650460209278535,0.9040622130774895,0.5237278256301925,0.8143031958802971
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.913,P1,0,-0.39699935703975825,2.0022927263772927,1.6150384697380857,0.6883422962900969,0.3076894063044747,1.1638011252949878
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.946,P1,0,-0.22380620595359446,2.166410630240558,1.5239538182463133,0.7654524926855362,0.48323764606770897,1.021482143519573
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.915,P1,0,-0.6388699720112201,1.0149520230622147,2.7195963672647476,1.1966441228990166,0.5345325526718019,1.1259125266576007
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.834,P1,0,-0.7590974041396399,2.4478744967952273,0.2,0.1,0.5732523763956796,0.6117014284581864
11,las,706.6836086404066,2020-07-14,2023-06-16,0.935,P1,0,0.1872513340114099,2.1137368489953037,0.6424776432351429,0.2796069225532551,0.5383962152443029,0.5526060012103289
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.885,P1,0,-0.5724868719557237,1.5713136195079989,1.62917531641537,0.8442037594115506,0.636917267020921,0.8357149269949381
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.914,P1,0,-1.2620263632275286,0.9630775710908722,0.8373650203198411,0.29833877985135027,0.9638905605009431,0.33912888379082623
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.769,P1,0,1.236185328388485,1.3820959583300014,2.2338614755846833,0.4884885251662343,0.3039675255015844,0.14454426570585635
15,olg,923.780701754386,2021-07-29,2022-07-05,0.901,P1,0,-2.5358788452036136,0.5244130548997571,1.6010797663905907,0.8264978852458074,0.8556265868539843,0.22031547433792079
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.889,P1,0,-0.5660614096228407,1.87761379614412,1.311248395025213,0.8411498832635189,0.5617147625795132,0.6337314719853903
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.887,P1,0,-0.7117397015776328,1.209044555434383,1.9506418945839676,0.7607781141394642,0.25635024707310583,0.5231420600000065
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.868,P1,0,-5.0,0.27057410274761573,4.657516899592351,1.5268796680604642,0.1,0.1
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.919,P1,0,-0.7151440358266782,1.8451751514800663,0.2,0.1,1.1924944868549237,0.3586142919211156
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.842,P1,0,-0.07315008267558959,0.9664142053465874,2.8520411732040123,0.8436030190128034,0.2681972951526826,0.46812399518632375
