,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha,delta
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.884,P2,0,-0.694323861862262,1.108518394768698,1.5407623185807795,0.6536191965477021,0.9221545691285838,0.7951474685573302,1.8082189448900858
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.923,P2,0,-0.21352801351497147,3.2450847986285023,1.15577198323995,0.9329132286749672,0.43100210908620457,0.9342086108563374,1.133470497999914
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.914,P2,0,0.9454633827706496,1.2622898395390079,1.2231965417139958,1.0601281964749643,0.7543471162400207,0.6741267859776222,1.3319901516805415
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.945,P2,0,-0.9262525668371926,1.9621936200530656,0.7723988780484858,0.8151954229351676,0.7141616615964693,0.5765994649356929,2.0
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.929,P2,0,-0.2645282845845936,1.6391015397953268,2.338897198291378,1.3050240868569103,0.5430826566020867,0.720206871302537,1.2486009726383365
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.938,P2,0,-0.501794853242688,1.667150306384351,1.3724286933071002,0.27002526957727396,0.42524658906262164,0.7325771900310357,1.3398021434158343
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.907,P2,0,-0.5648970587216599,1.2729892365237399,2.1317155418451232,1.0768804027929506,0.6889911787555041,0.8286470538851701,1.4115336592346532
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.925,P2,0,-0.5144782754370517,1.5885735773250669,1.9480387826082322,0.8963112577999848,0.45022200476564106,1.1626349945035415,1.6467737840741228
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.951,P2,0,-0.26381793787811325,1.8603205548715098,1.6192060096243368,0.9160519759087428,0.6175467692130953,1.022666877714617,1.3807581863592717
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.923,P2,0,-0.7982264995480101,0.8192770742052051,3.1630764651347687,1.4006393723008437,0.660826941611449,1.109557275992604,1.3714150358333856
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.834,P2,0,-0.7722631133111516,2.410342524984202,0.2,0.1,0.6395979153280645,0.6693517251008185,1.1708994633955343
11,las,706.6836086404066,2020-07-14,2023-06-16,0.941,P2,0,0.2013127518764576,1.9757204054021207,0.645473177445897,0.350203305257571,0.6432104821072526,0.6105640442048652,1.3578609742221375
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.894,P2,0,-0.7086690051129308,1.290849446974521,1.7685085840279708,1.0420337690600818,0.8557748774989946,0.8610277131800483,1.5091913310782645
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.918,P2,0,-1.349392729566075,0.9018505108954377,0.8183258571343921,0.3667555170587235,1.0885953905195156,0.44918717117124823,1.3675207665117768
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.775,P2,0,1.2044529180267418,1.4182439083965717,2.063671568350639,0.4816172557632371,0.3502194419065879,0.24107477227422125,1.3500246537096372
15,olg,923.780701754386,2021-07-29,2022-07-05,0.901,P2,0,-2.682211712682961,0.4951015552228249,1.576554862703075,0.867694692694445,0.9391492556419065,0.2575965296546294,1.1398438547811927
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.894,P2,0,-0.6380821207194013,1.6805559896579718,1.3767853327415203,0.9675675633861828,0.6747115057542995,0.6505208241278545,1.287588762407941
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.910,P2,0,-0.8897666963333776,0.9983092537035217,2.1320584763420802,1.015833057373852,0.4715093466639826,0.7495707336938539,2.0
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.880,P2,0,-5.0,0.2716775655501018,4.980622661426543,1.4753887212614223,0.1,0.1652698583789686,1.855542436267267
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.924,P2,0,-0.7283153493401482,1.8139518449921612,0.2,0.1,1.2406336439450434,0.439527804128545,1.260112574322058
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.553,P2,0,-5.0,20.0,0.2,0.1,2.0,0.1,2.0
