,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.869,TK+,0,-0.7341037377962799,1.0301537667132772,2.0073002198300847,0.5934779923228706,0.690356931421628,2.0,0.5680326151089232
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.923,TK+,0,-0.20421073905108286,3.389509863368282,1.2220591860566474,0.8647158812285861,0.3915139319685656,1.0622688760520946,0.7621540795824631
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.926,TK+,0,0.7248827041459442,1.660439353258995,0.6360200169596993,0.8415090052160127,1.1436083844983,0.8922391805289006,0.2959032909793563
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.936,TK+,0,-0.7236510871711391,2.4808234015760067,0.4854838540091755,0.6315529809229112,0.8356373986374531,0.4823124174750243,0.22153726734745818
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.925,TK+,0,-0.2233360369349291,1.929205228091347,2.1708891777986463,1.1017157228989576,0.45389624125678923,0.8304279195822588,0.6751376006311529
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.934,TK+,0,-0.5802209642650159,1.428844710230371,1.7965966781237543,0.2728853462283146,0.34506523441991765,2.0,0.687503004002179
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.910,TK+,0,-0.42781869643609816,1.691026252003635,1.3526380410303147,0.8587057709696194,0.7088474644125106,0.8383120432113241,2.0
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.929,TK+,0,-0.4287659336715898,1.9204589189162007,1.5383406736176182,0.7499894677707245,0.43965999598324645,1.392034201244258,2.0
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.958,TK+,0,-0.21568507270165146,2.2946756747317365,1.1502635781561088,0.753568622651602,0.6703725600401546,1.0238023901272753,2.0
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.926,TK+,0,-0.6207663435309432,1.067229129594978,2.1778294346681557,1.191047233455054,0.7312707657493396,1.1278375933988491,2.0
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.835,TK+,0,-0.7540313457783901,2.470373558535483,0.2,0.1,0.5262880711974147,0.6949892200288781,2.0
11,las,706.6836086404066,2020-07-14,2023-06-16,0.942,TK+,0,0.17901187831626655,2.239926497827005,0.4896412326570122,0.2710381582129759,0.7637357492865563,0.7770068355423786,0.3645578086526484
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.886,TK+,0,-0.6246779945168563,1.4394588018109191,1.8511078888974717,0.8750826749533571,0.6462181457237766,1.2000892560225433,0.6787504670182152
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.918,TK+,0,-1.177816871913389,1.0342162446032879,0.6204301731510137,0.289259473503927,1.1955606713945355,0.7436912262686384,0.37495874804824186
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.776,TK+,0,1.4403369631154066,1.187292274918762,2.726670458005603,0.5531082210827883,0.30754628103871146,0.30635221191511913,0.48631543373313035
15,olg,923.780701754386,2021-07-29,2022-07-05,0.904,TK+,0,-2.111940647688969,0.6271841186711603,0.5491136379481183,0.726401809099467,1.6625248544195772,0.740245026363017,0.286798989121844
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.897,TK+,0,-0.5454235872218809,1.9601665487467335,1.1494722484229287,0.8080362544607627,0.6934328634857961,0.8112106932155867,0.4755576209447125
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.902,TK+,0,-0.5751092793092747,1.5181327727235454,1.1209943986453763,0.6875357062838536,0.5789288443979956,0.6893514449879364,0.2514502574065194
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.888,TK+,0,-4.9982069538547576,0.2791182076189172,4.647950225850863,1.5473932339229066,0.1,0.8421224445326123,0.1
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.925,TK+,0,-0.7254243484233565,1.8262830275521011,0.2,0.1,1.2152306627180363,0.4347483895036766,0.7100969167310609
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.851,TK+,0,-0.0659883702301822,1.0657561527735968,2.327762767570784,0.789705885990441,0.3872479060625605,0.8389310902281326,0.43105764840356847
