,monkey,elo,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1191.3099041533546,2020-02-13,2022-10-26,0.895,TK,67,-2.749596354827478,0.2739336507577735,1.7913976367656095,2.0,2.0,0.1
1,ala,1126.6308016877638,2020-02-04,2022-09-14,0.901,TK,67,-0.1811317072952683,3.65699529049225,1.0510013308667445,0.8956126216858576,0.33173418822166006,1.0382194365039292
2,alv,1152.993670886076,2020-02-06,2020-12-17,0.939,TK,67,0.758590582274387,1.5990318114521238,1.3892535586487242,0.9943402461982035,0.5645604557997685,0.7348131922858707
3,anu,1162.6396761133603,2020-02-18,2020-10-21,0.933,TK,67,-2.3886896802562325,0.6935843649496259,0.9253352317683167,2.0,1.67914378492648,0.1
4,bar,1095.915611814346,2020-02-04,2022-09-21,0.944,TK,67,-0.20606149953987124,2.2556475770957403,2.2096912277060006,1.1161045786629047,0.4257929291765833,0.7451272505632219
5,ber,959.4971590909091,2021-09-22,2023-06-16,0.891,TK,67,-1.143906445949467,0.6912104070313889,1.3111271092397259,0.949517716197242,1.0531596189742947,0.1
6,ces,875.8871331828442,2020-02-07,2022-09-14,0.846,TK,67,-2.934211572549982,0.19824853899325856,3.148756050983451,2.0,1.9940982564983485,0.1
7,dor,748.6080760095011,2020-05-20,2023-06-16,0.911,TK,67,-0.4643654581456875,1.6400746988573809,1.9129369668910168,1.1317220532756223,0.2903932958612424,2.0
8,eri,744.2655007949126,2020-12-19,2023-06-16,0.945,TK,67,-0.21092045425834297,2.315430106313796,1.7749329320501064,0.7552994432514272,0.45409017245186867,1.0221084904233162
9,fic,819.0648769574944,2021-06-19,2023-06-16,0.907,TK,67,-1.0823168722480057,0.5937115790852616,4.1809949936218676,1.9084133301051571,0.6689598848864388,1.9874325048362829
10,jea,739.7420147420147,2021-07-29,2023-06-10,0.867,TK,67,-2.19582997658493,0.9537265457372166,0.36024557701540433,0.1,0.1,0.1
11,las,706.6836086404066,2020-07-14,2023-06-16,0.915,TK,67,0.5407424703285468,0.6571724223581756,0.705083522318397,1.6040198312844554,1.8659481307002697,0.1
12,nem,985.0834213305175,2020-02-05,2023-06-16,0.931,TK,67,-1.0058852186486775,0.887271090608129,2.259301170331875,1.3181409787227563,0.7611389828432498,2.0
13,ner,1064.6013745704468,2020-04-19,2023-06-16,0.917,TK,67,-2.3163126387823127,0.5497303194375499,2.1959799113187906,0.3771501848345193,1.0360842674161925,0.480253372632021
14,ola,1338.1140939597315,2020-02-23,2020-12-16,0.837,TK,67,5.0,0.3482346904177444,8.041848274607347,1.0461950788699963,2.0,0.13075233233089845
15,olg,923.780701754386,2021-07-29,2022-07-05,0.941,TK,67,-5.0,0.27881309470631854,2.4376954101876,1.8101319521693373,0.18705754086275833,0.6520309640170279
16,oll,1184.7746666666667,2020-02-04,2022-05-10,0.932,TK,67,-0.4918826236471831,2.2627252984872444,1.4867958743131546,0.9086657179890656,0.5694507437273603,0.7171612308598493
17,pac,1219.6760869565217,2020-03-03,2023-06-14,0.876,TK,67,-3.4193788535529754,0.25482668217747834,4.225665761837508,2.0,1.2085175589526085,0.1
18,pat,866.6833333333333,2022-07-11,2023-06-16,0.897,TK,67,-4.9857488415421845,0.3125311545164866,10.0,2.0,0.1,0.492144805964245
19,yin,963.9180522565321,2020-05-20,2023-06-16,0.923,TK,67,-1.5512257569718915,0.8756060414169109,0.2,0.42067402826677075,0.1,0.1
20,yoh,842.351871657754,2020-02-17,2023-06-11,0.880,TK,67,-0.705180799256568,0.1268289676429501,9.518952631200236,2.0,1.1457379307669124,0.1
