,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1235,2.1864406779661016,2020-04-10,2020-10-03,0.9228875727044389,P1+,0,-0.2655032543298585,1.3995045541687325,1.4461570189364774,0.4239974709044821,0.5738605228225366,0.7768372585307493,0.5105496563021112
1,abr,1157,2.4757281553398056,2020-10-19,2021-05-12,0.8625813473199356,P1+,0,-1.1370839012651206,0.9932236926676064,2.6758860870564947,0.46072377957289723,0.5389458752072278,0.9841669270120182,0.4096314241326502
2,abr,1203.0,2.926470588235294,2021-10-11,2021-12-17,0.9006205645242908,P1+,0,-0.9413576902459586,1.4930647502815455,2.025737710755275,0.6554848830084885,0.7159923953445781,0.8614782493422097,0.8326447864351373
5,ala,1115,4.973684210526316,2020-02-11,2020-08-18,0.9324989193221953,P1+,0,-0.022370431250089726,3.571267017349914,1.0224515052930254,0.7757013226119996,0.42973668762035694,1.1793298680432942,0.9369662094341381
6,ala,1074,5.601123595505618,2020-09-12,2021-03-08,0.9191840153863075,P1+,0,-0.23341299775362379,3.6431598267969583,1.2778539218828477,0.8517133994179198,0.38751483917444957,1.1688880895980818,0.8047142408190436
7,ala,1173.0,1.8873239436619718,2021-03-28,2021-06-06,0.9135525964729768,P1+,0,-0.29850551252959384,4.596162516082649,1.3399996469320328,0.6506117526658143,0.31384029778779915,0.9256359711810939,0.7397326312902154
8,ala,1128.0,5.203980099502488,2021-09-02,2022-03-21,0.918990389674549,P1+,0,-0.37087638180146826,3.3533608302127162,1.641818010902064,0.9135023426225332,0.3913256289073067,1.3709968605029517,0.6253705516633414
9,ala,1215.0,2.0470588235294116,2022-06-07,2022-08-30,0.915139666803846,P1+,0,-0.36269637234680235,4.001660095886826,1.486020861325299,1.0177083425276863,0.3828969416590495,1.2931259016316812,0.5810655586857977
10,alv,1082,5.575,2020-02-04,2020-06-02,0.917193746846539,P1+,0,1.0396060139625263,2.07053872523547,0.8785694511310173,0.7930576254614649,0.7048897690232437,0.8307967658749013,0.21098455297979646
11,alv,1239,2.2285714285714286,2020-07-30,2020-10-07,0.9101358285848972,P1+,0,-0.677573732177267,1.1687353907357436,2.89380548796111,1.1355475484882451,0.5342838096470847,1.2662212522069412,0.6776761833111827
12,alv,1082.0,5.575,2020-02-04,2020-06-02,0.9176433555924349,P1+,0,1.0396060139625263,2.07053872523547,0.8785694511310173,0.7930576254614649,0.7048897690232437,0.8307967658749013,0.21098455297979646
15,anu,1196,1.7681159420289856,2020-01-15,2020-03-23,0.869130367471151,P1+,0,-0.572605010908574,1.5284361274515967,0.9064260443224996,0.5258531350094424,0.4420938836912716,0.46927549900914667,0.39958303829230934
16,anu,1139,3.8055555555555554,2020-04-18,2020-06-28,0.9057728457004808,P1+,0,-0.8307962062362687,2.68025756640174,0.598049786654693,0.6023480315794336,0.5327570814215808,0.30535339282244023,0.1
17,anu,1170.0,4.671875,2020-07-17,2020-09-18,0.8820739025106201,P1+,0,-1.4688856407880215,1.5891572738025135,1.5755952531248014,0.5029961821660072,0.7307271363770864,0.6624951915177025,0.30584826533779147
20,bar,1077,5.032786885245901,2021-06-27,2021-08-26,0.9482129509461735,P1+,0,-0.46164239180595384,2.248953740359521,2.3617443616706217,1.2135316734326838,0.39107631427455697,0.6450245212805602,0.5513119034696907
