,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1235,2.1864406779661016,2020-04-10,2020-10-03,0.9230644358489137,P1,0,-0.26168189863232655,1.417386748719528,1.421497637755448,0.42716447764299437,0.5698441209390002,0.5814450399176476
1,abr,1157,2.4757281553398056,2020-10-19,2021-05-12,0.862274929100474,P1,0,-1.1129464576807107,1.0169146209553004,2.629273160946753,0.4585796938468447,0.5336478911774605,0.4642331091839374
2,abr,1203.0,2.926470588235294,2021-10-11,2021-12-17,0.9007492529885449,P1,0,-0.939010382443034,1.49666753114889,2.01909934078445,0.6561354897318113,0.715736002569812,0.8381540643467758
5,ala,1115,4.973684210526316,2020-02-11,2020-08-18,0.9311980658668054,P1,0,-0.02161482439086677,3.6794661472052708,0.9668932604388984,0.7755580580305065,0.42133062637400703,1.0536992997854104
6,ala,1074,5.601123595505618,2020-09-12,2021-03-08,0.9188943502179606,P1,0,-0.22131168123478528,3.826021022225744,1.167926559594251,0.8431266051005504,0.37777729294268014,0.96378444403006
7,ala,1173.0,1.8873239436619718,2021-03-28,2021-06-06,0.913115161645031,P1,0,-0.2909953202102059,4.70252862800785,1.2769799724301516,0.6520591083652418,0.3104455709583753,0.8280739541643682
8,ala,1128.0,5.203980099502488,2021-09-02,2022-03-21,0.9110378608720483,P1,0,-0.3330568623471185,3.6202517383562083,1.3849306835740092,0.9076818996879878,0.3783998495356551,0.8763283365342441
9,ala,1215.0,2.0470588235294116,2022-06-07,2022-08-30,0.9085218909008104,P1,0,-0.32552355455197174,4.285708785121042,1.2448855625370314,1.0001056519887566,0.3645698607690449,0.8714882715925454
10,alv,1082,5.575,2020-02-04,2020-06-02,0.9114785317274938,P1,0,1.0295378665048742,2.065639672731397,0.872546824291512,0.8070405883592384,0.6630730382123148,0.5741776992184595
11,alv,1239,2.2285714285714286,2020-07-30,2020-10-07,0.9072920834841499,P1,0,-0.6578370427003992,1.1957094560246058,2.72085632145718,1.1684164332855835,0.5288502486402689,0.8281589178459073
12,alv,1082.0,5.575,2020-02-04,2020-06-02,0.9111531412772372,P1,0,1.0295378665048742,2.065639672731397,0.872546824291512,0.8070405883592384,0.6630730382123148,0.5741776992184595
15,anu,1196,1.7681159420289856,2020-01-15,2020-03-23,0.868400268841999,P1,0,-0.5728189348159186,1.527243778618821,0.9063571482819534,0.5280209760734357,0.4410294742390387,0.439151222850174
16,anu,1139,3.8055555555555554,2020-04-18,2020-06-28,0.9069314577548226,P1,0,-0.839131970757264,2.6502972509006097,0.612232030084487,0.6071640220696147,0.52071871478957,0.2310678665509018
17,anu,1170.0,4.671875,2020-07-17,2020-09-18,0.8820525575110142,P1,0,-1.4534520417360843,1.6012655190873686,1.5780699800420175,0.49851242567913495,0.7218097395010087,0.381468980839508
20,bar,1077,5.032786885245901,2021-06-27,2021-08-26,0.9479308318715005,P1,0,-0.4566985764747307,2.273147375393274,2.3136319514059385,1.213883488401194,0.39061450941322307,0.5903342962851597
21,bar,1167,3.64,2021-09-24,2022-09-21,0.9513955177193723,P1,0,-0.42987011285076954,2.550394516866868,2.110357513723092,1.148708654662223,0.5268226209019716,0.7031783898254796
25,ber,926,9.605263157894736,2021-11-04,2021-12-11,0.8519849017492753,P1,0,-0.66357586516934,0.8341173477273265,3.1561787471200855,0.40393879982354514,0.1541054720751195,0.5702736745645427
26,ber,990,7.0,2022-05-31,2022-07-04,0.9172716326467286,P1,0,-0.564408818825336,2.470415476755799,1.1527806961109344,0.2588067660031792,0.4602495450590864,0.6664427142517484
30,ces,752,12.375,2020-03-08,2020-06-11,0.9227844247277808,P1,0,-0.22547554488911753,2.675598590642885,0.6426944186592968,0.393061415500076,0.8674866252654515,0.736104800809692
