,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha_g,alpha_l
0,abr,1235,2.1864406779661016,2020-04-10,2020-10-03,0.9243086001230362,TK+,0,-0.24930294184095003,1.496995953889632,1.2085201257461804,0.40903480955368493,0.7155087577293848,0.8031778024258269,0.45213788404135913
1,abr,1157,2.4757281553398056,2020-10-19,2021-05-12,0.8798746711247011,TK+,0,-1.0708697780075982,1.0841931661160749,1.890236387136826,0.5167606750344448,0.938079594042512,2.0,0.30622765224092297
2,abr,1203.0,2.926470588235294,2021-10-11,2021-12-17,0.9166286550608758,TK+,0,-0.8526183841267916,1.7035344758685622,1.4201153092082615,0.6246929189766519,0.9409087043272124,0.813692262249211,2.0
5,ala,1115,4.973684210526316,2020-02-11,2020-08-18,0.9292219304756378,TK+,0,-0.020719123598488043,3.876206598902741,0.7086577249251211,0.7670450079606472,0.6015154422129673,1.0035111859629944,2.0
6,ala,1074,5.601123595505618,2020-09-12,2021-03-08,0.9228923318952057,TK+,0,-0.21989242101485837,3.9995134365832548,0.8894122938049807,0.835552047661908,0.5211458398052752,1.0040055967346408,2.0
7,ala,1173.0,1.8873239436619718,2021-03-28,2021-06-06,0.9197425196884474,TK+,0,-0.28046291873356116,5.151471667249077,0.929575459976898,0.6292487319698593,0.4299960396045465,0.8732356573362136,2.0
8,ala,1128.0,5.203980099502488,2021-09-02,2022-03-21,0.9166354807761912,TK+,0,-0.35723954101984673,3.429552901603333,1.584394179018976,0.9322462500066024,0.4020317342377515,1.0944662748384588,0.652765467201528
9,ala,1215.0,2.0470588235294116,2022-06-07,2022-08-30,0.9139194208662087,TK+,0,-0.35236775801435455,4.077045879831708,1.4201844459462025,1.031436988465597,0.41174894976552595,1.0867719754766034,0.6020611461397387
10,alv,1082,5.575,2020-02-04,2020-06-02,0.9385047148132959,TK+,0,0.8759286641686224,2.5139066864825197,0.441235439371035,0.7230772738643905,1.2209361147883275,0.843570281062973,0.24070454159680574
11,alv,1239,2.2285714285714286,2020-07-30,2020-10-07,0.9082764341026157,TK+,0,-0.6631296992851823,1.188022810050714,2.8610041322018693,1.1536658221176508,0.532585885537516,1.013406427327962,0.7024047722567712
12,alv,1082.0,5.575,2020-02-04,2020-06-02,0.9373733077199625,TK+,0,0.8759286641686224,2.5139066864825197,0.441235439371035,0.7230772738643905,1.2209361147883275,0.843570281062973,0.24070454159680574
15,anu,1196,1.7681159420289856,2020-01-15,2020-03-23,0.8742522986906224,TK+,0,-0.5851700932999719,1.509347051398329,0.8752259448891251,0.6148458520146445,0.5423876835698747,0.4756682954177273,0.43587037235189985
16,anu,1139,3.8055555555555554,2020-04-18,2020-06-28,0.9382106831128919,TK+,0,-0.7931853911948293,2.9567178628711317,0.4119128689390353,0.6812244090420813,0.8947824414983275,0.4646564284498546,0.1
17,anu,1170.0,4.671875,2020-07-17,2020-09-18,0.9100482859005709,TK+,0,-1.3748051157472192,1.7799633001640012,1.1208807858088783,0.537232691782679,1.0760192688841825,2.0,0.3004490025986545
20,bar,1077,5.032786885245901,2021-06-27,2021-08-26,0.9494721773019732,TK+,0,-0.4556368974647598,2.2773728594325986,2.3013515101124526,1.204824376025379,0.4184761204640467,0.7029715884046697,0.5864943393495069
21,bar,1167,3.64,2021-09-24,2022-09-21,0.9490074242794616,TK+,0,-0.42345170831007317,2.5830726927481718,2.1178352870696866,1.129215274635081,0.522438727985791,0.7651300293503637,0.7157829212591095
25,ber,926,9.605263157894736,2021-11-04,2021-12-11,0.8549345121388857,TK+,0,-0.6487491488056716,0.8519600464012466,3.072062497191497,0.3935952917229593,0.16287250151874066,0.7349304754377969,0.5979226956571523
