,monkey,elo,rank,date_start,date_end,fit_score,model,lottery,x0,mu,lambda_,rho_g,rho_l,alpha
0,abr,1235,2.1864406779661016,2020-04-10,2020-10-03,0.9221388834922082,TK,0,-0.2684453306743587,1.3843179532262633,1.441060053035909,0.4696789286527833,0.6310961296489159,0.5372886178822078
1,abr,1157,2.4757281553398056,2020-10-19,2021-05-12,0.8728254120313916,TK,0,-1.1712157818226017,0.9886963907494616,2.380518745812432,0.5498331995625655,0.7979856242118091,0.37135601560497566
2,abr,1203.0,2.926470588235294,2021-10-11,2021-12-17,0.9148823801957118,TK,0,-1.1456517867530158,1.265239527068159,1.9757267052993532,0.7824469882862838,0.9315107846151395,2.0
5,ala,1115,4.973684210526316,2020-02-11,2020-08-18,0.9312826398601606,TK,0,-0.0220968088200543,3.601822205042355,0.9767432718722439,0.7912356947793331,0.42996779051952333,1.0738361084834704
6,ala,1074,5.601123595505618,2020-09-12,2021-03-08,0.918541981831487,TK,0,-0.22614526977951052,3.7453798379476892,1.1674043850632163,0.8533453272124506,0.37753825944267255,1.0385446999290469
7,ala,1173.0,1.8873239436619718,2021-03-28,2021-06-06,0.9121036913634878,TK,0,-0.2869379417036808,4.751447976628148,1.2613142107219943,0.6391090352540649,0.3010833277892752,0.8632148174467827
8,ala,1128.0,5.203980099502488,2021-09-02,2022-03-21,0.9098206791161277,TK,0,-0.3260763864461694,3.691325224510265,1.3557422375820265,0.8906183225262191,0.3699224297054958,0.8999808917675816
9,ala,1215.0,2.0470588235294116,2022-06-07,2022-08-30,0.9078798197406233,TK,0,-0.3185225148510284,4.37114030878036,1.2200459417497946,0.9809747648069345,0.35597751853816284,0.8923198927223401
10,alv,1082,5.575,2020-02-04,2020-06-02,0.9124040853259034,TK,0,1.065487214603827,2.007120680073479,0.9260444990949632,0.8503105222040959,0.7156897096722084,0.548512878267534
11,alv,1239,2.2285714285714286,2020-07-30,2020-10-07,0.9081143660486132,TK,0,-0.6428906751346772,1.222137629550013,2.6760761117652145,1.1483802970847867,0.516190883013223,0.8536370551891213
12,alv,1082.0,5.575,2020-02-04,2020-06-02,0.9134772714610492,TK,0,1.065487214603827,2.007120680073479,0.9260444990949632,0.8503105222040959,0.7156897096722084,0.548512878267534
15,anu,1196,1.7681159420289856,2020-01-15,2020-03-23,0.8731577329028748,TK,0,-0.6041330666694084,1.4615165597589355,0.9348140692870756,0.6343452197259312,0.5255407309875744,0.45658947050429144
16,anu,1139,3.8055555555555554,2020-04-18,2020-06-28,0.9371024741879443,TK,0,-0.9601463471415853,2.417273852537287,0.6980377987595785,0.8083801434685268,0.6775463923159613,0.35445639131906687
17,anu,1170.0,4.671875,2020-07-17,2020-09-18,0.9015801552093281,TK,0,-1.3715907042319924,1.7520936006668308,1.3164679860535207,0.5434395107074861,0.9437712038215612,0.37475623883759185
20,bar,1077,5.032786885245901,2021-06-27,2021-08-26,0.9467408266759132,TK,0,-0.46246019378080605,2.2411950983850772,2.3528497921274334,1.2384910961226971,0.40053337652326665,0.6391255685503334
21,bar,1167,3.64,2021-09-24,2022-09-21,0.950093064795021,TK,0,-0.42143714628068557,2.59483695269682,2.0988007547185727,1.1331465463286599,0.5184918866241238,0.7381736778336702
25,ber,926,9.605263157894736,2021-11-04,2021-12-11,0.8551105494349229,TK,0,-0.6652398261049352,0.832297386744399,3.1685406755233356,0.41294363478214574,0.16032454059211643,0.6251379446689982
26,ber,990,7.0,2022-05-31,2022-07-04,0.9147005183322946,TK,0,-0.557553002932266,2.499396421957566,1.1326274022838003,0.26408793283998583,0.4751403690793477,0.6460023912567144
30,ces,752,12.375,2020-03-08,2020-06-11,0.9206668264147553,TK,0,-0.22142227949888743,2.71281458566189,0.6329228994685766,0.4002565043252216,0.8853591678732275,0.6687071025284539
31,ces,848,11.629032258064516,2020-07-17,2020-09-16,0.8855601153404687,TK,0,-1.161037173995075,1.2263934959844331,2.3207039505432716,0.9981476707535346,0.5773968835522788,0.6394255950621294
32,ces,811.0,11.69047619047619,2020-10-03,2020-11-13,0.8709988533437245,TK,0,-1.03254043374757,1.035537880602974,2.7217652329510833,0.9903698349809121,0.44504577198152684,0.647006916685237
33,ces,970.0,8.820224719101123,2021-12-14,2022-03-12,0.9041849414033252,TK,0,-0.7709049152146245,1.1553094426516954,3.604744680419421,1.4901968055944719,0.46025782457416853,0.8226830902480686
35,dor,829,12.12,2020-11-15,2021-02-22,0.863816148809923,TK,0,-0.6330955059772677,1.7763211775706396,2.003924333344477,0.39244240020501614,0.28306669492901826,0.44829848890812235
36,dor,723,15.272727272727273,2021-06-17,2021-09-12,0.9343485369960736,TK,0,-0.4620451602860243,2.2442105957516754,1.6462896927887154,0.6379404666313089,0.4538974722462111,2.0
37,dor,783.0,15.073170731707316,2021-10-20,2022-02-19,0.908095919764703,TK,0,-0.19664134024948654,2.016413195001193,1.748485943808685,0.9286244126050286,0.48256581845507723,1.9537971766131086
38,dor,708.0,14.88135593220339,2022-04-14,2022-06-11,0.8998639458828227,TK,0,-0.505812459769052,2.0187307646024344,1.770929781918575,0.9897910981470724,0.4258477478169598,1.6942168454953899
39,dor,780.0,,2023-05-14,2023-06-10,0.8792164751004269,TK,0,-0.4290419647085507,1.5623646745280466,2.389473218349176,1.184079711874652,0.32951998446932823,1.4420928025890878
40,eri,659,16.294820717131476,2021-02-03,2021-10-11,0.9348375024732528,TK,0,-0.31481741812035285,2.0049763732749537,1.1011378076324791,0.6279043415844234,0.5796020296378829,2.0
41,eri,864,10.837078651685394,2022-03-15,2022-09-19,0.9459672876911653,TK,0,-0.1364671915600587,1.8255351748469553,1.940212821155472,1.0814805191785537,0.620018615117768,1.3593858401252934
42,eri,1011.0,,2023-02-27,2023-06-16,0.9260003712430708,TK,0,-0.41584299151213283,1.1717835243268,3.847850907471732,1.4051700055187,0.43277675211506716,1.538031126664972
45,fic,758,14.284090909090908,2021-07-21,2021-10-16,0.9185646591547841,TK,0,-0.29715306542596004,1.4758124625815416,0.8498121809560588,0.8077800893563812,0.7319703048426448,0.5014258996562553
46,fic,898,10.0,2022-04-09,2022-05-31,0.897346199634359,TK,0,-0.9389763881887433,1.000417916845837,2.877699680576446,1.339559829097133,0.7723111821820834,1.8863867959297889
47,fic,834.0,11.486842105263158,2022-06-11,2022-08-25,0.8910303398968084,TK,0,-0.8048699418541697,0.8164886580128259,3.890323996195593,1.4242101243150822,0.5160688939990946,1.4864380022565222
48,fic,917.0,10.0,2022-09-03,2022-11-20,0.8849128821023386,TK,0,0.004699789982789198,1.0722340452718293,3.3038964016082137,1.4361244086508684,0.4541257033132835,1.1975003981602081
49,fic,930.0,,2023-05-03,2023-06-15,0.9096207170251664,TK,0,-0.8721062327192342,1.011920314738866,3.84431812635269,1.5797813681834485,0.75702352618122,1.6393243886511921
50,her,850,,2022-09-16,2022-11-16,0.8890714078268193,TK,0,-2.067864152263393,0.7414605469206642,3.6626030250920354,0.7398902923487133,0.5332922094339584,0.41303193935871363
51,her,685,,2023-05-04,2023-06-07,0.8790690859592901,TK,0,-1.1906678727873132,1.0909928648911735,2.9065091055500685,0.9973214551963856,0.5527896009285282,2.0
55,hor,741,,2022-10-31,2023-04-14,0.8549637542772622,TK,0,0.9018444573096644,0.28347082612341035,3.166469123216308,1.3488021786004964,0.5704001026460442,0.31971280561598814
56,hor,841,,2023-05-12,2023-06-10,0.9114100587186862,TK,0,-0.7001158970341219,1.8224288437812848,1.4647909377610129,0.860475295570948,0.7363684395506824,2.0
60,las,737,15.175298804780876,2020-10-07,2022-02-20,0.9148742714200779,TK,0,0.1550145615765165,2.565818798648688,0.6248391650008542,0.26660908727818167,0.5008059309648596,0.5846729646373288
61,las,591,,2022-09-12,2023-06-16,0.9090488840455976,TK,0,0.00730829857528942,3.2635943950322424,0.7351376971615623,0.2599519197186505,0.6042133926243691,0.7146979204851415
65,nem,903,8.733727810650887,2020-02-02,2020-07-19,0.8951393684931601,TK,0,-0.5093911515946239,1.3539480219081745,1.0152823529121426,0.7862221762308826,1.0057966830898173,2.0
66,nem,1024,7.534313725490196,2020-07-28,2021-02-16,0.8737970456076701,TK,0,-1.1600018042192775,0.5106460956022125,6.126591912025036,1.023491924717181,0.4937626656759084,0.5252766417087498
67,nem,1004.0,7.375,2021-06-27,2021-09-14,0.9084154715455927,TK,0,-2.2083226728423306,0.9070929203451744,4.601156373268098,1.2634531105978026,0.5879032682593852,0.5115534426452025
68,nem,1042.0,6.292397660818714,2022-03-22,2022-09-20,0.9306241999009001,TK,0,-0.4116269149253195,1.8120700787037356,1.3269227773744885,1.0204103702342096,0.7580002204168551,1.6277145563997195
70,ner,1016,7.1241534988713315,2020-05-10,2021-07-26,0.8710914115528232,TK,0,0.3180478951200978,0.5604663556629611,0.6490663922017765,0.2341336416618026,1.4833167823197886,0.4099043551169048
71,ner,1155,4.6,2021-09-20,2022-01-17,0.892530090494603,TK,0,-0.41107157767827657,1.2102611327960144,0.20995642287576877,0.31358273158461647,2.0,0.5708087126696753
72,ner,1074.0,5.967741935483871,2022-02-04,2022-05-07,0.8984690843196514,TK,0,-1.4780228282765937,1.131585615770963,0.25552796503785175,0.2831519212755857,2.0,0.613359391496701
73,ner,1132.0,4.983050847457627,2022-05-14,2022-09-11,0.899216728737192,TK,0,-1.5912073642673557,1.1511491807723628,0.8457125139813771,0.40492204855377767,0.8873757372711986,0.49238804497767813
74,ner,1071.0,,2022-11-03,2023-08-15,0.8943568946120295,TK,0,-1.7250395055027927,1.0207086558051732,1.5723664085568525,0.3839192368238731,0.749331149265548,0.4471614971941473
75,oll,1269,1.0,2020-01-18,2020-02-26,0.8352585236004387,TK,0,-0.0939972927249739,2.3068958429096647,0.2,0.7085287807689623,0.1,0.6785140352153142
76,oll,1159,4.050251256281407,2020-05-31,2020-12-15,0.9038208211062354,TK,0,-0.8257875285464324,1.329176640085541,2.142446913247863,0.7378078569896594,0.45413571808832004,0.6626455460659411
77,oll,1239.0,2.1639344262295084,2021-07-24,2021-11-22,0.930338513656282,TK,0,-0.5363308543958346,2.292451714425976,1.300941394039609,0.965960903520578,0.645233624281783,0.7263007555592194
78,oll,1183.0,1.702970297029703,2021-12-04,2022-03-14,0.9258211430529896,TK,0,-0.567259377282178,2.414253368051093,1.2736289006854151,0.8097458531604225,0.7328263298726023,0.6500044069323687
80,pac,1308,1.0,2020-05-02,2020-10-12,0.8823051145281482,TK,0,0.18482698774366368,1.910745780620589,0.8725639484264686,0.6394533415252149,0.2860986246350653,0.6458015234274209
81,pac,1161,2.5671641791044775,2020-10-27,2021-05-15,0.8624345484532052,TK,0,-1.729062755125441,1.158633603133596,2.124949340729368,0.9197103432862671,0.5842711284919336,0.3533309506571642
82,pac,1274.0,1.1594202898550725,2021-07-05,2021-11-19,0.8964192069747686,TK,0,-1.2213327844777406,1.2404041754378239,2.2339719453000315,0.941337326911967,0.4969375740192899,0.4575250581523089
83,pac,1156.0,2.702127659574468,2022-01-22,2022-03-09,0.8758716446353809,TK,0,-1.1355860957583845,1.4624824106275471,2.2398686435902393,0.8517613125793109,0.47271358868398683,0.37295320969880197
84,pac,1145.0,,2023-02-07,2023-06-14,0.8601792430035746,TK,0,-1.8655264275036685,0.7884791690470163,5.493133055800208,1.3595142647641645,0.1,0.3491326611329526
85,pat,864,10.64406779661017,2022-07-12,2022-10-03,0.77921803959363,TK,0,-5.0,0.18058490411017203,6.48144209158953,1.7560243093714545,0.1,0.34415340357113955
86,pat,830,,2022-11-07,2023-06-16,0.8840967902335419,TK,0,-5.0,0.31144272806326057,4.876265002414715,1.5950898294971656,0.1,0.30362775769901346
90,yoh,835,11.476964769647697,2020-04-29,2021-05-02,0.8834412291391825,TK,0,-0.37407129624152413,1.1802123985061137,1.3994698472561502,0.20087616473794848,0.41621315031007683,1.6454513297645337
91,yoh,906,8.817391304347826,2022-05-17,2022-11-14,0.8960919320941483,TK,0,0.05194459209937026,1.0203458386236701,3.285752929883308,1.2190485466958618,0.30633527118951126,0.5470524392814589
